,Reviewer Name,Review Title,Review Text,Reviewed Date,Review Rating
615,Amazon Customer,A treat on a budget!!!,"I bought Samsung galaxy M30 over a month ago.. this has been my best phone so far...the display is brilliant...the camera quality is outstanding...though the phone is big in size I got used to it in couple of days..

The battery back up is crazy...at time I don't have to worry upto 3 days to charge it...the blue light filter helps me use the phone longer as it doesn't strain my eyes...

I love the colour of the phone...its very classy...finger print reader is very quick and easily accessible...

The speaker is decent...but the Dolby atmos sound takes it to another level...I love watching videos on it...

Overall it's an exceptional phone at this price",20 June 2019,5
616,Amazon Customer,"Product good, Amazon as usual.","Phone is as per expectation. Screen size, sensitivity, battery is awesome. However, not sure about how much is the cat LTE, camera is good in daylight, brokenh is good.
Service of Amazon is not good. Person who brought my phone, didn't had a machine for card payment, I had to manage cash like a roadshow 😐. He asked me for Google pay which I don't have. They used to give a call before delivering products which they've stopped.",27 April 2019,5
617,AKHIL GUPTA,"Amazingly awsm phone, but lacks good low light video recording.","I got the product delivered on 22nd april. And i will review this phone as per my usage till today..

The phone is fabulous in terms of
Display
Battery (with intense use for full day streaming ,i have 25-30% battery for the next day)
Camera
Fingerprint
Speakers r good... not bad at all

While few shortcomings in terms of
Low light video recording
Face recognition (as it opens on eyes closed)

If u do not have to shoot videos in low light condition... and want a phone that has an appealing display... then this phone is for u.. ✌✌",11 May 2019,5
618,RUPALI,Best Budget Phone,"I have been using Samsung M30 for more than one month, its been so far good experience. Firstly you get amoled screen in this price which is a bonus. Once I forgot charger in office but still I was able to stay till next day as it got massive 5000mah battery with a quick charging, USB C is bonus too. Nowadays everyone gives loads of RAM, but I trust 4GB ram from Samsung, its not always about 4gb or 6gb size, its the quality and performance from chipset matters. I also like the One UI core is very clean and easy. The best thing is it got Dolby sound, have a great earphones and the output is so good. I got update of Andriod 9 and its so good to get that early. I am a happy Samsung M30 user",20 June 2019,5
619,AD,"Good With battery life, reliability.","Like- battery issue resolved, with connected bluetooth device and playing uTube not heats up much battery- which was not the case with other mobiles. Regid reliable supporting hardware to software I,e. Android.

its not dislike but now days people are more into bluetooth ear phones, so should providing same with mobile itself with an option to do so.",18 June 2019,5
620,Bramhapurikar H.,Happy and average mixed,"Awesome display.
Sleek and slim phone.
Stomach full of battery lasts really very long.
Very fast action.
Good feature of Samsung internet to save data.
Blue light filter is a very innovative idea

One side speaker
Dolby only on earphone
Radio only on earphone
Worst screen capture by together pressing power and volume buttons.

Moto g4 plus and Lenovo k4 note vibe far more easy to handle",18 June 2019,3
621,Vinitha VS,Highly Not recommended,Disappointed.. its sound is too low.. getting struck... my old phone is galaxy on5 pro... it was too good... m30 is aworst phone.. I have 5yr son.. he always take my phone. That's why I choose only samsung phones. It has less radiation compared to other branded phones. But this m30 is a worst phone. Very pathetic performance.,29 April 2019,1
622,Sindhupandi,Worth money..,"Very good screen clarity, it looks very neat and appealing, Camera is very good, low light photography is excellent. Fingerprint sensor is fast and it has good speed which helps me switch between apps smoothly. Gaming on this phone is awesome and it doesn't lag while playing games like PUBG and NFS. The 5000mah battery helps me almost never run out of charge . The charger included with the phone charges my phone in a matter of minutes. The AMOLED display helps me see clearer images and lets me watch movies in high definition.The Dolby digital feature helps me listen to music in high quality sound with a beautiful infinity V cut display the phone looks better than anyone. I love it",20 June 2019,5
623,Vineet Neoliya,Wonderful phone. Best among competitors,"The phone is really good. Processing speed is good.
The only thing that is lacking in the phone is good camera quality and fingerprint sensor is not that active.
But in all the ways one can rate the phone 10/10.
Hope the phone continues to run in a smooth way for long time, as it has only been a month now.
But yes, one can analyze the features and quality in a week.
So overall, I would say it is a nice phone and looks great.
Cheers.",18 June 2019,5
624,SP,Overall ok deal,"I personally like its UI experience. I am not fond of games so didn't tried any games as such. But phone response is quite good. 90 mins for full charge and then goes 1.5 days of moderate to heavy usage. Camera quality is average.
For my type of usage, I should have opted M20 which is at quite lower price.",11 March 2019,4
625,Raghu,"Go for it if not a heavy gamer, all else boxes it ticks.","Overall a nice package for the price, 2 to 3k for the brand and continued software support. Pie update and another update done with manual check and update option, performing flawless after update. While setup please choose which apps to install or not. With conservative use phone can last 4 days with proper settings to avoid battery drain. Purchased another phone after a week, both devices working fine, charge speed is quite good no worry there. Oled display, pie update, 5000 mah battery, wide angle and portrait cameras are the pros. Cons, processor not for heavy gaming, oled display costly to replace, use good bumper case. Amazon fast and safe delivery, no issues.",21 June 2019,5
626,Harsh Rawat,You can do better,"The face recognition is fast, image stabilization is very bad,
Cons: It doesn't have samsung pay, camera not worth the money, no nfc
Pros: super amoled display

If you want a good camera at this price point then consider dropping samsung M series from your list.",26 March 2019,3
627,amit,Good phone but could have been better given the price range,"All in all its a good budget phone.
The battery life is very good,the device stays up for the whole day when charged once in the morning
Fingerprint sensor is bit of a disappointment as it takes around 2-3 seconds to recognize and unlock the device
The camera is good and takes amazing photographs with low light.
The display is good which provides hd streaming for various platforms like netlflix,prime etc. The screen to display ratio is very less which means the whole screen is almost the display of the screen.
One upsetting feature is its design..its got a plastic body which is very prone to damages and does not give a very nice look and feel.",18 June 2019,4
628,Vijayakumar Singaram,Go ahead for Samsung M30 blindly !!,"M30 is a Beast model in this price segment.
I admire this phone for following reasons,
- Firstly the radiation, the SAR value is around ~0.4 only where other phones are more than one.
- There is not much heating issue for an average user.
- Battery back lasts atleast 30hours in one shot charging for good usage.
- Phone is best specification in this price segment and ofcourse its Samsung first ever leap to launch a phone in this price with heavily loaded options.
- Triple camera does the Job pretty well. It has wide angle lenses to capture big landscapes as well.
Output is much better in day light.
Night photography is average.",18 June 2019,5
629,Divyansh,"Nice, cool is it?","What i like in this mobile phone is its screen. Which is way better than any other company is providing, camera quality isn't good but front camera will not let u down.
Battery is the second most thing you can love about this phone.
One UI update is here, believe it or not samsung is killing it. If your main purpose isn't camera and if you cannot buy galaxy A50, you should go for this one. It is way awesome than i described it",18 June 2019,4
630,Ved Mohan,Pretty good budget phone,"Pretty good phone for the price. Pubg does lag and phone does get slow at times. But considering the price, the performance is average. Camera is basic, nothing great. Display is pretty good. Battery backup is good too. Should last a whole day even with heavy usage. Fast charging does disappoint though. Takes 3 hours to completely charge from 10 % to 100%. Visibility in sunlight is very poor. Speaker is also okay. Overall value for money phone in the budget phone segment.",7 April 2019,4
631,Surya S,Overall Good to go with M30,"My review after 1month usage of M30. Looks r very good.. mine is blue (4)
2. Battery life is too good, for heavy net surfers its 1day and for normal usage will get 1 and half day.. (4.5)
3. Charging is fast.. It takes around 2hrs for complete charge (4)
4. Screen Quality is awesome (4.5)
Sound is just ok.. (3)
5. Camera(s) is just ok.. not impressed at all even with 3cams.. (2.5)
6. Not heavy (4)
7. No heating issues.. (4)",18 June 2019,4
632,ARNADA PANY,Excellent Product and delivery !,I appreciate the whole amazon team involved in this process. Galaxy M30 is a great product and the delivery process was quite satisfactory !,19 March 2019,5
633,Deepak,Great purchase at Great price,"Firstly I would like to say that the UI is so good and buttery smooth with no lag at all since it is optimized thanks to Samsung for that.
The battery backup is so great I could go on watching videos from morning 10 AM to night 11 PM and the battery still remains at 24%👍.The camera is quite good I haven't tried Google camera yet but stock camera is ok but you need to focus for 2-3 secs for good images.Fingerprint reader is not so fast it takes nearly 1sec to unlock but since you cannot do anything in just a sec it's bearable😄.However it's not that great for gaming heavy graphic games,I would recommend this for only heavy media/entertainment consumers😁",23 May 2019,5
634,Bhadresh,A great device with very good features!!😊,"The device is awesome and feels so good to hold it in hands!! The camera is great too because of wide angle its very helpful to click wide range scenes! The fingerprint sensor is very quick, just a quick tap unlocks the device! And just loved the battrey life because I don't have much time to charge my phone! Other than that I also liked the idea of dedicated sim slot... the screen also works well and the device doesn't hangs! It runs smoothly.. i was afraid to buy Samsung due to some bad experiences in past with samsung mobile phones but i will tell you that this phone is just great in each and everything!",20 June 2019,5
635,Karthick,Overall average phone in this segment,"Actually I have purchased the mobile 15 days back. First Samsung mobile I have purchased ever. Positive things are good fingerprint sensor. Good battery backup. Samsung UI is really good and pie update available on the first day itself.. user experience also good.
Negative things
Camera not upto the mark. All photos taken rear and front looks like edited image.. poor quality. Performance not upto the level. Some lacks are there while interchanging the app. I expect 6 GB ram and new processor would be effective. But I felt that processor performance not upto the level. Expecting updates from Samsung in future. Price is also high in this segment.",18 June 2019,3
636,raviraj,No secure folder and F secure feature. Most important features.,"samsung galaxy M30 dont have No secure folder and F secure feature. Most important features. Amazon Dont have return option at all, so before you place order on amazon please check the features you are looking for in mobile or any product in shops personaly. Because once the product is received you cant do anything. I contacted around 4-5 time to amazon and spoke 1 and half hour once they said that there is no return option at all. they says you can only use the mobile even if you dont have that feature you are looking for. So its better to go shop, check features and purchase the mobiles. Hope they will provide these features in software updates.",30 May 2019,3
637,sudhir kamath,Excellent phone from Samsung at budget range,"Excellent Product by Samsung for the range.
The 4GB version is more than handy for normal use.

I am not much of a gaming person or high end app user, and haven't faced any major issues as yet.

The fingerprint reader is good.

The camera quality is good but doesn't provide the expected image quality especially during low light.

The Battery life is the best part. Comes in with heavy duty battery and I happened to use it for more than 30 hours after watching couple of streaming movies, regular WhatsApp usage, calls and app usages.

Overall at the range this is an excellent piece. Worth a buy.",18 June 2019,5
638,BHAWAN PHAGUWALA,Amazing phone seriously.. Moto one power I have but Samsung best phone rather thn others.,"Excellent Fast charging battery and battery backup.
Camera is ultimate.
Screen touch is awesome.
Overall, this is amazing.. mind blowing...
Love u Amazon. & Samsung.",15 April 2019,5
639,Mohd. Juned Jakee,Every single penny is worthful for this phone.,Can decribe this product in a single word is AWESOME. It is really infinity. I got this product on 1st sale. Camera is very good. Battery backup is best we need to charge only once in 24 hrs after a lot of usage. Sensor is also good. It has a led display which is perfect. Mainly it has 6gb ram and 128 gb internal memory in this price. Thnxs to amazon for a great service for fastest delivery.,13 March 2019,5
640,Amazon Customer,On par with the price.,"The phone looks and feels premium , Unlike what the youtube reviews make you feel.
Yeah , the cam is bad , really bad , and the ultrawide shot is a gimmik.
Screen is excellent. Speakers are great. Can't say about battery life , only got it 2 days ago. But seems adequate.
Charging has been surprisingly fast considering the 5000mah battery. Around 2 hrs for a full charge.

Get this phone if only media consumption and battery life are your concerns. On thise aspects, this is the king. But for everything else go for a realmi 3 pro.",28 June 2019,5
641,GAUTAM PRAJAPATI,Short Charging Cable,"Its very short charging cable is a biggest Joke in Mobile History.
Screen quality is good but you won't be delighted with this product.
Don't think this is 5K mah battery
Don't buy",28 March 2019,4
642,Anand,Better than the best,"Samsung has shown an altogether new character with amazingly impressive M30 series phone. The fingerprint reader tightens the overall security but eases out the process. The 13 MP sensor, 5MP sensor along with the depth sensor for live focus actually give other a run for money to other camera phones.
The 6.4 inch S amoled infinity U display with 5000mAh battery life makes it perfect for multimedia and gaming. Last but not the least, all this at a fantastically reasonable rate, workmanship of Samsung with made in India tag makes it an immediate BUY.",18 June 2019,5
643,praveen,Back cover tempered glasses not include box,mobile looking very nice display also very very good sound clarity is very low battery backup is very good I am using some software but opening is a very fast I like it,17 March 2019,4
644,abhijeet,Camera dust,I bought it on 9 march. And today its 3 april. And camera is filled with dust. As u can see in the image. Worst experience. Go for some other device.,3 April 2019,1
645,Linish,"Samsung Galaxy M30, Wide Angle Awesome","Samsung Galaxy M30 phone is good Wide angle is awesome. But display is not completely white, its like yellow with pinkish color even after adjusting display screen mode ( in Adaptive display -> RGB balancing). And also camera photo clarity is not up-to mark. And also only less features.",29 March 2019,4
646,Akshay Sawant,Wonderfull and unbelievable phone with its awesome features in low price. I loved it.,"I had buy this phone after comparing a lot with other phone.. The main reason of buying this phone is the SAR value of phone. I was afraid of buying as i was buying it online first time. But it came safe.
Samsung M30 is a wonderfull phone in 15000/-. I'm using it from last 12 days, its so wonderful, i like its design, slim and beautifull.
Wonderfull camera's, unbelievable battery backup, awsome infinity display. Speaker sound is also better and loud then other samsung phones. This phone gives more in such a low price I'm really shock!. I would recommend to buy this perfect phone..",19 June 2019,5
647,Amazon Customer,Disappointed after buying this phone,"After using one week i found the following problems in the phone:
Camera quality is too bad, especially in the low light it is too worst
There is no vibration intensity, you won't notice even your phone is ringing
You can't forward your messages to your recent contacts, there is no option at all
Call ending button is not working properly, you need press twice or thrice to end the call
Look wise is also, it is not that much good, it look alike a cheaper phone when you hold on your hand.
Though the configuration sounds great, it is actually a low end phone
Better don't buy this phone, it is completely waste of money",30 May 2019,1
648,Shubham Ranjan,Worth for buying,"Everything is fine there are some pros and cons as well .
Pros includes it battery life and fast charging, display is amazing, network connectivity is good.
Cons include like sometimes it lacks ,heating while charging but not always.",26 April 2019,4
649,Ayush purohit,"Display,battery life",The phone is smooth...You cant compare it display with any other phone at this price point..Fingerprint scanner in good...face recognition dont work when eyes are closed..And ofcourse one can play pubg on this device...pubg play doesnt offer those high settings but when you compare another device with same settings the there is clear day light..I mean it looks better on M30..All in all its agreat phone...With best battery backup...2 hours of pubg play only consumes about 25pecents of battery...so its a great phone..,24 May 2019,5
650,chandrasekhar tekur,Great looking phone but software hangs occasionally,"The phone looks great and build quality is good. So far I couldn't get good photos out of it, not sure if the problem is with settings or the camera itself though I used default settings. Another problem I have been experiencing is the phone hangs sometimes, it just doesn't respond to touch. after upgrading to Pie the frequency of phone hangs reduced but it occurs occasionally.",5 June 2019,4
651,nikit,Below expectation product,"Bad Speaker quality 2/5
Performance 2/5
Display 4/5
Camera 3/5
Slow device as compared to rival note 7 pro",19 March 2019,3
652,Jince M.,Awesome product .....,"I just picked up an amazing phone which is Samsung m30 and I'm so happy to make the right decision.
Talking about this phone, this comes with great battery life and I can strem all my favourite songs and play games without worrying that it may go off. The camera is very good, captures great pics doesn't let me down. My friends take my phone and go on clicking selfies. I already have 400 plus photos in my gallery. The storage capacity is not a worry either, thanks to the 128gb varient.
The display is really very good. Everything so bright and nice. It is not at all heavy and the gaming performance is great. I'm loving it!",18 June 2019,5
653,Amazon Customer,Worth buying. Just cool.,Excellent smartphone. This is my no.4 smart phone and this last one has been bought from online. In one word just awasome super amoled display. And camera quality. Very fast running. Speaker sound is so enough and good. Before buy it at this price I examine oppo f11 f9 and vivo but no company beating Samsung M30 model.,19 June 2019,5
654,Habeeb A.,Phone is very nice but came quality is not upto the mark.,"Cons:
1.It has good number of sensors.
2.has u infinity display with sAMOLED display.
3. Fast charging and battery drains slowly
4.has triple camera.
Pros:
1.camera quality is not good.
2.face recognition doesn't work in low light.
3. Main camera settings have very less functions.
4. Out of 4 GB RAM only 1.3 GB is for extra user only.",7 April 2019,4
655,Amar Kushwaha,It is not value for money,"Its camera is good...
Its speaker is very bad if you are music listener then you should not buy this phone...
Its software is also very faults like...There are not any system app for privacy, music player or other important apps...This phone not shows network speed...and daily use data...
Its software is also not good at that price range....
PUBG is not completely working...
It is good there type-C charging but it is not fast charger it takes approx 3 hours to full charging...
Its battery is also average ....
Screen quality is good...
BUT PLEASE NOT PURCHASE if you are music listener...its speaker is slow and sound quality is very bad",31 March 2019,4
656,Girish,Samsung M30 ! Defective product and incompetent on call executive !!," Phone is malfunctioning and defective. Goes for restart infinitely and takes more than 2 hours. Experienced it 4 times in one day. Disappointed with the product. Either replace or refund !!

Just spoke with an executive (I was called back from support team) and she wasn’t of much help .. issue critical and I am told technician would only visit on Friday (after 2 days of reporting the issue) to troubleshoot the problem, post which they will raise report and decide on the phone replacement !

Very disappointed and didn’t expect this kind of service from Amazon !!",5 June 2019,1
657,Nitin Mahajan,Best phone in best price.,"I bought this phone and amzed with its looks.
Camera quality is excellent love taking oictures and selfies with my new M30. 5000mah battery life is the best.
4x64G configuration is minimum requirement these days and getting such phone in affordable price is dream come true.
I suggested many friends to buy this phone and 2 of my friends actually bought M30 becuase of my reviews.",20 June 2019,5
658,ANU,High price for low quality smartphone,Though they have mentioned 6 gb RAM...but.it didn't work as 2 gb RAM phone..lots of hang problem ....even you can't open 2 pages simultaneously...my old phone mi 4 with 4gb RAM phone was far much better than this bakwas phone...even my mi 4 is still working perfectly never hang...just it doesn't have triple slot that's why i switch over this ghatiya quality phone...low camera quality...low finger print scanner...face recognition is totally dumb....even i bought it with 128 gb internal memory still it hangs a lot...i wasted my money...prefer to buy redmi phone or oneplusT phone..,30 May 2019,2
659,rounak bose,MUST READ REVIEW,"M30 HAS A BRIGHT IPS DISPLAY

It has a fast charger out of the box thats good the sound has more treble and it can be better , the camera is just awesome within this range and beats the huawei quite easily , The phone gets heated up slightly on the first time charge but eventually cools down, samsung has removed it's earphones which is a downside however it has the type c usb port making it a unique model within its price segment and it is a tough competition when comparing but if you are going to buy this it is an excellent choice",15 April 2019,5
660,Amazon Customer,Must buy,"This is one of the best smartphones in the range of rupees 15000,and has a better battery life and the camera is very good and the fingerprint sensor is very quick and it recognizes very fast .It has many other facilities such blue light filter,wifi calling,ultra data saving mode,smart view, and comes with inbuild dolby atmos. The sound is so loud and has very good tone. The touch screen is just sick that is very smooth and very nice to use. This is much better than redmi note 7 pro.",21 June 2019,5
661,Ankush aslia,"Super build quality, battery and display guys you buy this you get never disappointed.","I love samsung camera and it's photographic experience, the best phone under 15 k with triple camera build quality and 5000mh battery experience is execellent as compare to other phone and also i am love with samsung displays beautiful color and touch sensivity amazing. Thanks samsung for this amazing product.",19 June 2019,5
662,DAVINDER SINGH,BKWAS PHONE,BKWAS.... GETTING VERY HOT WHILE CHARGING.,23 March 2019,1
663,Amazon Customer,Worst Camera quality,"Purchased this phone from amazon, but the photo from front camera & back camera is worst. photo appearing like beauty plus photo, colour always like red effects with clarity less. Photo is like hazy & blur effects in normal mode. Yellow colour is looking like orange, Orange colour is seems like red, Deep Blue is like light blue effects. I suggest all Please don't purchase this phone, I don't wand any body to face the same situation which I am facing. Also Amazon is not support any kinds of refund of this product, after several time mail & Phone they didn't responds. So be aware of this product as well as Amazon site.",16 April 2019,1
664,Srikanth J S,Samsung M30,M30 Excellent phone from Samsung after a long time in pocket friendly budget. Compared to the features other brand launches its away but still it can stay.,20 April 2019,4
665,gurmeet singh,Very low performance in all sides,"Firstly they do not give us the real famoled display.. and after 20 day of use their is green little dot is shown in down middle of screen.
Processor is very slow .. even while i open youtube its shows like buffering .. bt in other hand j7 pro is very gud in this ..
Pubg performance is very lo .. u dont know who fire on u .. while u trun ..they kill u twice
Bettery is not like they told us .. 26 hours continue vedio .hahahaha .. a big joke. Its just like samsung c7 bettery backup .. which have 3300 mah battery insted of 5000mah bettery .. tha only thing is 128gb inside this .. thats all.. nothing more",10 April 2019,3
666,Dhaarna,This phone is amazing ❤️,"M30 - 4+64 Amazing phone with mind blowing features and uniqueness .it feels great to uses such phone .phone has a 6.4 inch screen which is ultrawide n hd display .with 4 gb ram .it has a tripple camera with 13mp +5mp +5mp .with hd click and 3d look of photos .it has latest processor inbuilt with 5000mah inbuilt battery .it low in weight with amazing features which makes yr moment amazing n memorable .one will love this phone . This phone has everything you ask for and it is amazing how it has such a low price. The camera again, is outstanding and the photographs captured is amazing and you will every time feel the urge to use it again and again. It is so smooth and you will love the way it looks.-Dhaarna Jain",15 March 2019,5
667,Amazon Customer,Not at all durable.. Samsung using cheap quality material..,This phone is not at all durable.. Samsung is using cheap materials to reduce the price.. I dropped the phone while sitting in a chair inside the office and the display was gone.. it was not a huge fall and more over there was a tempered screen and case.. there was no physical damage to the tempered glass.. only a minor scratch on the display.. Samsung service centre charged me 6000 rs for replacing the display.. this is absolutely pathetic.. there are phones much cheaper and durable for the given price.. don't go for this phone or any other M series phone for that matter..,1 July 2019,1
668,sundeep,Honest Review after 2 months usage.,"Fingerprint reader works fine. Camera clarity is just fine. Battery life is too good will easily last for 2 days on moderate use and 1.5 day for heavy users and gamers.

Overall , I give 3.5 out of 5 interms of build quality, sound, camera and durability.
The best thing about the fone is its screen _ Samsungs Super Amoled screen really Rocks !!!
BATTERY is second considering point.",18 June 2019,4
669,Mandar Bedekar,Excellent Battery Life !,"I mainly chose this phone for it's huge capacity battery and it has not disappointed me at all ! Since I keep my internet on all the time, I was doubtful about the advertised battery life. After using this phone for more than a month, I am totally satisfied with the battery life. On an average, a single charge gives me two days of battery backup !
Camera is good in daylight but not that good in low light.
Overall, a very good phone for the price !",15 May 2019,5
670,vahida,just an average phone,"The device is not tallying with the advertisements Samsung boasted about. Charging takes time, waive palm For photo do not engage and many more flaws. Vivo or ippo are better at this rate",25 March 2019,3
671,Srikar,Stopped working within 6 hrs!! Pathetic experience,"I got the defective piece. It stopped working within 6 hrs. Screen gone blank & dead...not Responding at all. Within that short period of use, the fingerprint reader was not quick. The quality of the pictures taken was below average. I don't want to talk about battery life as it lasted only 6 hrs. Contacted Amazon customercare for return & replacement, for which they agreed. After a day, they said that only refund can be made once the phone is returned. I returned the phone & got the money back. Worst experience.",11 June 2019,1
672,anudeep,"Don't go for it, and very disappointed with amazon","This phone has bug I believe. It's slow and shuts down while using. This is expected from a technical perspective but the way amazon taking care of my issue is very disappointing. To solve my problem they're asking to reset my phone!!! Are you kidding me? Brand new phone first time usage it's giving problem and how can you ask this!!!! Even if it works it'll give problem in the near future. Very disappointed with amazon than this product.
Also I contacted their customer care via online as I'm out of India and they say their technical team is not available now. I'll have to call at 8am. This is my day one story.",4 June 2019,1
673,Purab shrivastava,BIG THUMS UP FOR SAMSUNG M30,"It's a budget branded mobile. I am happy with purchase. Sharing my experience after one day use will keep update my review after this week to help you.
Pros :-
Budget phone
Samsung brand
Massive battery
Good build up and good screen
Good RAM 6 GB AND ROM 128
CONS :-
AVERAGE CAMERA
LITTLE HEAT UP issue
After using almost 20 days o am still happy to make my decision about M30",26 May 2019,4
674,Kiran B.,Waste Product,Proximity Sensor not working. Amazon not returning the product.,28 March 2019,1
675,Amazon Customer,"Too bad Packaging, but The Phone is Supereb.","4 Star...Only Beacuse of Bad Packaging, Even Not place a bubble wrap Around the Phone's only Box.( Having Nothing than Offical Packeging from Samsung) Too Bad.

Besides Packing, everything Else is Great.
One of the best phones in this price segment.

Likes about Phone: Superb Display, Nice Audio, Good Looks, Very Good Camera.
Extra Ordinary Battery Life.

The Prosseser could be better (But not that bad either) No Issue in daily Usage , But you can find performance little laggy with heavy usage..",19 April 2019,4
676,Amazon Customer,Nice but camera should imrpove waiting for the Update,"It's a quite dissopointment, what I was expected in before buy and after buy, camera should improve... No need to release with similar products from samsung, release 2 or 3 with the great features and we are ready to pay whatever the cost. Because I am big fan of samung... But Samsung M30 it's not reached my expectations... Only the problem is Camera. Without everything is fine. I don't want discuss other features of this mobile... Because my only interest to buy this product CAMERA only... But finally it was 2/5 rating for camera.",26 June 2019,3
677,Amazon Customer,GREAR PHONE WITH ADVANCE FEATURES IN LOW PRICE,"Display is awesome 5/5
Camera is good as price
Battery life 2 days
Face unlock and finger print sensore are fast as a eye blink
But sometimes toches at two places don't work
Recommended to buy with no fear
I choose this as compare to A50 because A50 has screen touch unlock that is not fast as rear finger print scanner
This phone is awesome",13 March 2019,5
678,Sonia,Lowered my expectations for Samsung,"I'm been using this product for a month now.
What's quite surprising is, after clicking nearly 100 images, I see only 1image in the gallery. I checked it everywhere, including file manager but the images just vanish. Secondly, can anyone tell me the lifetime of the battery. I use WhatsApp insta almost all day.. and the battery dies till the end of the day. Ain't it supposed to last for 2-4days without charge ?
Thirdly, when I open the camera, I see a black display which comes n goes quite often.
Dont feel the worth of this product after paying 18k. What's the process of exchange after a month ?",20 May 2019,2
679,Kaustubh Bhat,The best phone in Stores,"The Samsung Galaxy M30 has a gorgeous AMOLED screen and looks just awesome from the front. The front camera resides in a U-shaped notch, which is inconsequentially smaller than most of the phones out there in the market. Morever it adds a gradient finish to spice things up. Galaxy M30 is super comfortable to wield. The battery backup on the Galaxy M30 is excellent. The phone can easily last for a day of heavy usage, it supports fast charging -and- Samsung also bundles a fast charger in the box. Also its weight is so less that when I carry it in my jeans, I hardly feel that its a phone which is the most important thing for a college student like me. I love it.",24 March 2019,5
680,Rakesh,Awesome phone. Satisfied.,"Excellent phone. Huge battery life, stands for one full day with continuous use. For camera I'll give 3/5, not poor nor excellent. SAMOLED Display scores outstanding. Crystal clear. I worried about camera performance before buying, but I'm satisfied(not gaming user). The main reason for buying Samsung is to avoid Chinese product. And also this is Indian make. Very much satisfied. Premium look. Notification LED not available, that's the one disadvantage. Unable to use/ save memory card storage for WhatsApp/WPS office, this is another disadvantage. Overall satisfied.",13 May 2019,4
681,Sarath Mohan,Good phone below 15000,"Its a very good phone. I have used this phone. Its nearly 16cm display and it runs on Android 8.1 ( oreo) operating system(updated to pie). This device contains 4gb ram, so u can install many apps. Battery will last long as it is 5000mAH,the main advantage of this phone is its battery life.Rear camera has 13mp+ 5mp+ 5mp. It also has light sensor and proximity sensor which is quite good. It has 64gb internal storage , which you can even expand. This phone design is absolutely fantastic and its very comfortable to hold it in hands. So if u have a budget of 15, 000 rs , I will recommend you to buy this phone.",18 June 2019,5
682,Vivek Tomar,Disappointed with slow performance,"I am using this mobile for 1 month, and i found it very slow. I am using Samsung for the first time and i am quite dis-appointed with the processor, its have Samsung's own processor Exynos which is slower compare to snapdragon.
Plus point is its battery life.
Camera i haven't used enough to comment.
Return window is only for 10 days which is not sufficient.",5 April 2019,2
683,Jhanvi Gupta,A really good buy,"Definitely go ahead and buy this Samsung phone.
The wide angle camera is superb and specially what I liked in the phone.
The battery life is what I usually check before getting any phone and it can last a whole day and sometimes 1½day on one charge because by the end of the day I'm left with 50%battery.
On the whole just go for this phone",3 May 2019,5
684,Mukesh,A dec3nt phone,"The phone overall is great.
You are here just beacause you like the phone but i am here to tell you about some drawbacks of this phone.
1.It do have a 5000 mah battery but battery life is not that great. A heavy user like me can't expect anything more than 4000 mah on other phones.
2.It do have camera same as a20 but you can record 4k in it, slow motion in it but not in this phone. Even tough that phone have an inferior chip. Also please note that this phone's chip do supprt upto 4k recording.
Thats it. Rest all is great about it.
If the above things don't bother you,go for it.",18 June 2019,4
685,Amazon Customer,Worst signal reception quality product from samsung,"Ordered this item with excitement in flash sale. The only positive feature is good battery. Signal reception quality is worst. Calls get dropped intermittently and unable to use gprs-net to full extent due to poor quality signal reception. Service center people worked on it. But, it's of no use. Got frustated with this phone. Thanking of to dispose this phone in just 35 days of use. It seems that Samsung is losing quality consciousness while launching new item or at least when the issue is brought to their customer care team.",2 June 2019,2
686,Amazon Customer,"""The best Smartphone in battery backup""","By far the best smartphone in this price range.
If your looking for bigger battery go for this smartphone without hesitating...
Can last up to 3days if only used for calls and messages
Can last up to 12hrs for moderate gaming
Can last up to 8hrs for extreme usage
Nice phone tho.......",17 May 2019,4
687,Sunny,Facing issue on back panel..samsung m30,"I am facing the same issue again and again , i replace the phone one time and facing that problem still yet, on the back panel near the fingerprint area when we tap on it it gives a sound like something is loose or some scrue is not fit properly..
i request to all buyers who already buy this cell .please check that u are facing that issue or not..",16 April 2019,3
688,Ramesh sankar,Extraordinary Samsung phone,"I am using Samsung mobile first time. Before I am using Samsung mobile I have a negative opinion on Samsung like hanging, Battery fingerprint cameras quality and other problem. But when I purchased Samsung galaxy m30 all the negative thoughts gone on my mind because all the functions are working extraordinarily. The long battery life and camera and every thing is gd. No negattive doubts about Samsung. I will say to every one but Samsung phone without any negative thoughts. I am reviewing this after using of 2 months I purchased m30 April 17 all the best for who are searching for buy Samsung mobile.",18 June 2019,5
689,Srinivas Sarma,Average phone.,"Very normal camera. Waste of resources putting three cameras. For 6 GB ram phone is okay status. Low quality plastic. Not enough bright screen. Face unlock is not proper responsive. Speaker average. Too many bloatware. Unwanted apps cannot uninstall. Not worth more than 12k. Only brand value. Definitely not for game lovers, even Temple run gets stuck.",31 May 2019,3
690,sunnybabu boddeti,Great,There is no doubt about the super amoled display quality was awesome nice design great battery wonderful camera not that great as realme m30 flash was horrible bad flash forever night time photos worst iam big fan of Samsung i was used lots of samsung mobiles some small issues with this product over all great phone.,23 March 2019,4
